uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
10000	|		|	B	|	no rank	|	tree:0	|		|		|	
1001	|	10000	|	N	|	no rank	|	tree:0	|		|		|	
1000	|	1001	|	G	|	no rank	|	tree:0	|		|		|	
100	|	1000	|	R	|	no rank	|	tree:0	|		|		|	
1	|	100	|	R1	|	no rank	|	tree:0	|		|		|	
2	|	100	|	R2	|	no rank	|	tree:0	|		|		|	
3	|	100	|	R3	|	no rank	|	tree:0	|		|		|	
4	|	100	|	R4	|	no rank	|	tree:0	|		|		|	
5	|	100	|	R5	|	no rank	|	tree:0	|		|		|	
6	|	100	|	R6	|	no rank	|	tree:0	|		|		|	
101	|	1000	|	S	|	no rank	|	tree:0	|		|		|	
7	|	101	|	S1	|	no rank	|	tree:0	|		|		|	
8	|	101	|	S2	|	no rank	|	tree:0	|		|		|	
102	|	1000	|	T	|	no rank	|	tree:0	|		|		|	
9	|	102	|	T1	|	no rank	|	tree:0	|		|		|	
10	|	102	|	T2	|	no rank	|	tree:0	|		|		|	
103	|	1001	|	M	|	no rank	|	tree:0	|		|		|	
11	|	103	|	M1	|	no rank	|	tree:0	|		|		|	
12	|	103	|	M2	|	no rank	|	tree:0	|		|		|	
104	|	1001	|	P	|	no rank	|	tree:0	|		|		|	
13	|	104	|	P1	|	no rank	|	tree:0	|		|		|	
14	|	104	|	P2	|	no rank	|	tree:0	|		|		|	
1002	|	10000	|	C	|	no rank	|	tree:0	|		|		|	
